campaign_id,campaign_name,media_source,date,sum_cost_usd,revenue_from_advertising_impressions,revenue_in_app_event,total_revenue,absolute_payback,relative_payback
140410898,mock_campaign_a2e93e84,googleadwords_int,2026-06-15,57.845641695399991,38.253540547599947,21.643561,59.897101547599945,2.0514598521999545,1.0354643805838029
140410898,mock_campaign_a2e93e84,googleadwords_int,2026-07-04,47.2332979446,30.206450554899941,43.287122,73.493572554899941,26.260274610299945,1.5559695332115209
140410898,mock_campaign_a2e93e84,googleadwords_int,2026-07-16,38.6796990049,25.97520444389988,201.187027,227.16223144389988,188.4825324389999,5.8729058727970616
432166127,mock_campaign_f8b84857,googleadwords_int,2026-07-06,3.3047912869000005,6.3611967198000032,0.0,6.3611967198000032,3.0564054329000028,1.924840683590342
432166127,mock_campaign_f8b84857,googleadwords_int,2026-07-07,4.1832577384,3.5871011238000023,0.0,3.5871011238000023,-0.59615661459999769,0.85748986749546685
502057685,mock_campaign_befecb98,googleadwords_int,2026-06-26,2.1388836829999991,1.8614812794000009,38.204261,40.065742279400006,37.92685859640001,18.732080943833179
262368493,mock_campaign_c13d8f45,googleadwords_int,2026-06-08,11.675306912900004,5.1310042287999895,47.0500149543,52.181019183099991,40.505712270199986,4.4693488207530869
351751429,mock_campaign_b7e37028,googleadwords_int,2026-06-23,21.196672758507049,12.284096679500003,0.0,12.284096679500003,-8.9125760790070458,0.579529477076534
900383572,mock_campaign_45368c6d,googleadwords_int,2026-07-18,3.0502439569999966,5.4202457716,0.0,5.4202457716,2.3700018146000037,1.7769876272227645
529859974,mock_campaign_d2ea5396,googleadwords_int,2026-07-21,4.0503821557999995,2.7241727289000086,0.0,2.7241727289000086,-1.3262094268999909,0.672571778196063
624225880,mock_campaign_ae3dba5e,googleadwords_int,2026-06-05,1.6979518585,1.1932684995,0.0,1.1932684995,-0.50468335899999994,0.7027693356124679
557162896,mock_campaign_b0c8a1e0,googleadwords_int,2026-06-05,54.050107124799929,26.779877391800035,0.0,26.779877391800035,-27.270229732999894,0.4954639096267871
590094865,mock_campaign_23f341fc,googleadwords_int,2026-07-15,0.0178452547,0.0012063833,0.0,0.0012063833,-0.0166388714,0.0676024702522178
792104306,mock_campaign_6fcee95d,googleadwords_int,2026-06-29,48.589376189199946,26.14858095999999,0.0,26.14858095999999,-22.440795229199956,0.538154284141892
848321939,mock_campaign_c41abc99,googleadwords_int,2026-06-23,0.0208819831,0.0116727457,0.0,0.0116727457,-0.0092092374,0.55898645469165231
